CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
15;67592;136975;21710;44,8;14,2;17,8;13,7;14,4;13,5;12,8;16,2;9,7;27,7;62,8;52,6;1,9;8,3;35,9;10,1;5,0;1,6;2,5;0,9;-13,8;12560;35100;2,8
16;161820;338317;22000;47,7;15,1;23,8;18,0;16,2;14,1;11,9;13,0;8,3;31,7;66,7;57,4;2,8;6,5;33,8;8,0;5,9;1,7;3,0;1,2;-14,4;12110;36410;3,0
17;316687;657815;22810;50,8;12,5;20,1;15,1;13,7;12,6;9,5;10,6;7,4;24,4;62,3;52,2;3,0;7,1;38,5;9,8;4,8;1,5;2,4;0,9;-15,4;12960;38580;3,0
18;139636;289977;22100;49,2;14,7;23,8;18,5;17,1;13,7;11,2;10,4;7,4;32,8;65,5;57,5;2,5;5,5;35,3;7,2;6,2;1,9;3,1;1,2;-14,2;12220;35950;2,9
19;111468;227210;22140;48,7;13,7;20,8;16,5;15,1;12,6;10,6;12,8;8,4;27,6;63,7;55,3;2,5;5,9;37,3;8,1;5,0;1,6;2,4;1,0;-14,1;12630;36040;2,9
21;232935;493885;23720;55,8;11,8;21,3;13,4;13,3;11,2;8,5;8,1;5,0;26,4;72,2;63,6;2,4;6,2;30,4;9,1;4,7;1,7;2,1;0,9;-16,4;13150;39810;3,0
22;281440;600827;22670;49,3;11,8;18,6;13,5;13,2;11,6;8,9;10,6;7,0;26,7;64,1;55,2;2,6;6,3;36,8;8,5;4,9;1,8;2,2;0,9;-14,3;13190;36550;2,8
23;56411;109744;20620;42,2;19,2;25,3;22,8;21,5;19,4;15,3;18,4;14,2;34,6;57,3;47,8;2,2;7,3;41,1;8,1;6,2;1,6;3,5;1,1;-12,7;11110;33400;3,0
24;191611;389525;21410;45,1;16,6;24,6;19,7;18,6;16,8;13,3;14,8;10,9;31,2;59,2;50,5;2,7;6,0;40,0;8,7;5,7;1,7;2,9;1,1;-13,6;11690;35150;3,0
25;234231;514442;23890;55,1;13,1;20,7;14,7;15,0;11,9;9,8;9,5;5,0;29,6;77,7;69,7;3,1;4,9;26,6;7,1;5,0;1,8;2,2;1,0;-16,4;12690;43210;3,4
26;228957;506163;22450;49,5;14,8;19,9;17,2;17,6;14,3;11,4;10,8;7,3;29,8;69,0;60,1;3,2;5,7;30,6;9,8;5,6;2,1;2,4;1,1;-15,0;12270;37890;3,1
27;251484;585905;22880;53,3;12,7;19,3;15,4;14,5;11,9;9,1;8,3;5,6;28,3;73,0;65,7;2,8;4,5;29,4;6,7;5,9;2,3;2,6;1,0;-15,0;12860;37040;2,9
28;182871;420550;23360;55,3;12,1;18,0;14,7;14,1;11,7;8,6;7,8;5,3;28,0;73,0;65,1;2,7;5,2;29,4;7,9;5,1;2,2;2,0;0,9;-15,4;13040;37800;2,9
29;421606;889796;23220;51,4;10,8;19,3;12,3;11,6;10,7;8,1;8,9;5,8;26,0;67,0;58,4;2,6;6,0;34,8;8,1;4,9;1,8;2,2;0,9;-14,8;13540;37410;2,8
2A;61036;122776;23420;54,0;15,8;17,7;16,6;16,1;14,8;14,4;18,0;9,2;25,0;69,9;59,0;2,5;8,4;31,0;11,9;4,8;1,1;2,8;0,9;-17,6;11740;41870;3,6
2B;67789;134645;21460;46,9;20,2;27,4;21,8;21,7;18,9;17,6;21,1;12,0;31,6;67,3;55,4;2,5;9,4;32,1;10,6;6,2;1,3;3,7;1,2;-16,2;10880;38720;3,6
30;337231;737477;21330;46,0;20,0;28,9;23,3;22,8;19,7;16,1;14,6;9,5;37,4;66,2;56,9;3,3;6,0;32,4;9,2;7,1;2,1;3,5;1,5;-14,9;10860;37080;3,4
31;620391;1344360;24230;56,6;14,3;26,1;15,3;14,5;12,9;10,6;11,1;5,0;28,1;80,0;71,3;3,2;5,5;23,1;8,9;5,5;1,8;2,5;1,2;-17,5;12220;42400;3,5
32;86472;180893;22110;46,3;15,3;23,5;16,7;15,8;14,4;12,7;16,3;9,9;29,6;63,7;53,7;2,7;7,3;35,3;9,8;5,3;1,6;2,7;1,0;-14,1;12120;36630;3,0
33;734949;1607016;23950;55,7;12,8;22,2;13,9;13,5;12,1;9,9;10,1;5,8;24,3;76,4;67,2;3,2;6,0;27,0;8,8;4,9;1,6;2,3;1,0;-17,1;12740;41270;3,2
34;536698;1132467;21800;48,1;19,4;31,5;21,7;21,7;19,1;15,0;13,6;8,9;34,1;68,8;58,3;3,6;6,9;30,5;9,9;6,8;2,0;3,3;1,5;-16,0;10950;39110;3,6
35;470915;1057638;23690;53,6;10,8;20,2;12,1;11,2;9,4;7,5;8,6;5,0;25,1;76,1;68,2;2,7;5,2;25,7;9,1;5,0;1,9;2,1;1,0;-15,9;13550;39320;2,9
36;102369;205741;21270;45,1;15,4;24,8;19,9;17,5;14,6;11,6;12,0;8,4;32,7;61,8;53,6;2,6;5,6;38,1;7,3;6,1;1,8;3,1;1,2;-13,3;12100;34010;2,8
37;268673;577042;23140;52,7;12,8;22,4;15,1;13,8;12,0;9,4;9,3;5,0;28,4;71,3;63,6;2,8;4,9;31,2;8,0;5,1;1,8;2,3;1,0;-15,6;12800;38900;3,0
