"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"GEO";"Géographie";"347";"Loudun";"AAV2020"
"GEO";"Géographie";"315";"Saint-Jean-d'Angély";"AAV2020"
"GEO";"Géographie";"348";"Le Blanc";"AAV2020"
"GEO";"Géographie";"302";"Capbreton";"AAV2020"
"GEO";"Géographie";"362";"Doué-en-Anjou";"AAV2020"
"GEO";"Géographie";"328";"Loches";"AAV2020"
"GEO";"Géographie";"316";"Le Grau-du-Roi";"AAV2020"
"GEO";"Géographie";"349";"Sainte-Maxime";"AAV2020"
"GEO";"Géographie";"303";"Somain";"AAV2020"
"GEO";"Géographie";"378";"Hesdin-la-Forêt";"AAV2020"
"GEO";"Géographie";"363";"Prades";"AAV2020"
"GEO";"Géographie";"329";"Moissac";"AAV2020"
"GEO";"Géographie";"317";"Amnéville - Rombas";"AAV2020"
"GEO";"Géographie";"350";"Gérardmer";"AAV2020"
"GEO";"Géographie";"379";"Maîche";"AAV2020"
"GEO";"Géographie";"351";"La Ferté Macé";"AAV2020"
"GEO";"Géographie";"318";"Issoudun";"AAV2020"
"GEO";"Géographie";"330";"Decazeville";"AAV2020"
"GEO";"Géographie";"364";"La Tour-du-Pin";"AAV2020"
"GEO";"Géographie";"380";"Avesnes-sur-Helpe";"AAV2020"
"GEO";"Géographie";"352";"Honfleur";"AAV2020"
"GEO";"Géographie";"319";"Saint-Claude";"AAV2020"
"GEO";"Géographie";"331";"Ambert";"AAV2020"
"GEO";"Géographie";"381";"Montval-sur-Loir";"AAV2020"
"GEO";"Géographie";"353";"Crozon";"AAV2020"
"GEO";"Géographie";"365";"Châtillon-sur-Seine";"AAV2020"
"GEO";"Géographie";"320";"Feurs";"AAV2020"
"GEO";"Géographie";"332";"Mauges-sur-Loire";"AAV2020"
"GEO";"Géographie";"382";"Montmorillon";"AAV2020"
"GEO";"Géographie";"354";"Jonzac";"AAV2020"
"GEO";"Géographie";"396";"Valence";"AAV2020"
"GEO";"Géographie";"397";"Sézanne";"AAV2020"
"GEO";"Géographie";"321";"Évron";"AAV2020"
